caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
1946-050,1946-050-01,1946-050-01-03,1946-050-01-03-01,2/10/47,1,330 U.S. 75,67 S. Ct. 556,91 L. Ed. 754,1947 U.S. LEXIS 2960,1946,1301,Vinson,20,UNITED PUBLIC WORKERS OF AMERICA (C. I. O.) ET AL. v. MITCHELL ET AL.,12/3/45,10/17/46,8,60,320,,2,20,,1,55,10,55,10,0,1,,1,1,2,0,0,0,0,1,0,1,,2,201,,79,74,1,4,3
1946-050,1946-050-01,1946-050-01-05,1946-050-01-05-01,2/10/47,1,330 U.S. 75,67 S. Ct. 556,91 L. Ed. 754,1947 U.S. LEXIS 2960,1946,1301,Vinson,20,UNITED PUBLIC WORKERS OF AMERICA (C. I. O.) ET AL. v. MITCHELL ET AL.,12/3/45,10/17/46,8,60,320,,2,20,,1,55,10,55,10,0,1,,1,1,2,0,0,0,0,1,0,1,,2,223,,79,74,1,4,3
1946-050,1946-050-01,1946-050-01-06,1946-050-01-06-01,2/10/47,1,330 U.S. 75,67 S. Ct. 556,91 L. Ed. 754,1947 U.S. LEXIS 2960,1946,1301,Vinson,20,UNITED PUBLIC WORKERS OF AMERICA (C. I. O.) ET AL. v. MITCHELL ET AL.,12/3/45,10/17/46,8,60,320,,2,20,,1,55,10,55,10,0,1,,1,1,2,0,0,0,0,1,0,1,,2,222,,79,74,1,4,3
1946-050,1946-050-01,1946-050-01-07,1946-050-01-07-01,2/10/47,1,330 U.S. 75,67 S. Ct. 556,91 L. Ed. 754,1947 U.S. LEXIS 2960,1946,1301,Vinson,20,UNITED PUBLIC WORKERS OF AMERICA (C. I. O.) ET AL. v. MITCHELL ET AL.,12/3/45,10/17/46,8,60,320,,2,20,,1,55,10,55,10,0,1,,1,1,2,0,0,0,0,1,0,1,,6,600,18 U.S.C. § 9,79,74,1,4,3
1946-051,1946-051-01,1946-051-01-01,1946-051-01-01-01,2/10/47,1,330 U.S. 127,67 S. Ct. 544,91 L. Ed. 794,1947 U.S. LEXIS 2860,1946,1301,Vinson,84,OKLAHOMA v. UNITED STATES CIVIL SERVICE COMMISSION,10/17/46,,28,42,320,,1,20,,0,106,42,30,,0,10,2,1,1,2,0,0,0,0,1,0,1,,6,600,18 U.S.C. § 12,79,87,1,5,2
1946-051,1946-051-01,1946-051-01-02,1946-051-01-02-01,2/10/47,1,330 U.S. 127,67 S. Ct. 544,91 L. Ed. 794,1947 U.S. LEXIS 2860,1946,1301,Vinson,84,OKLAHOMA v. UNITED STATES CIVIL SERVICE COMMISSION,10/17/46,,28,42,320,,1,20,,0,106,42,30,,0,10,2,1,1,2,0,0,0,0,1,0,1,,2,223,,79,87,1,5,2
1946-051,1946-051-01,1946-051-01-03,1946-051-01-03-01,2/10/47,1,330 U.S. 127,67 S. Ct. 544,91 L. Ed. 794,1947 U.S. LEXIS 2860,1946,1301,Vinson,84,OKLAHOMA v. UNITED STATES CIVIL SERVICE COMMISSION,10/17/46,,28,42,320,,1,20,,0,106,42,30,,0,10,2,1,1,2,0,0,0,0,1,0,1,,2,200,,79,87,1,5,2
1946-102,1946-102-01,1946-102-01-01,1946-102-01-01-01,5/19/47,1,331 U.S. 367,67 S. Ct. 1249,91 L. Ed. 1546,1947 U.S. LEXIS 2266,1946,1301,Vinson,241,"CRAIG ET AL. v. HARNEY, SHERIFF",1/9/47,,220,,28,51,1,,,0,302,51,300,51,1,10,9,1,1,3,0,1,0,0,2,0,2,,2,200,,81,78,1,6,3
1946-125,1946-125-01,1946-125-01-01,1946-125-01-01-01,6/23/47,1,332 U.S. 1,67 S. Ct. 1538,91 L. Ed. 1877,1947 U.S. LEXIS 2923,1946,1301,Vinson,954,UNITED STATES v. PETRILLO,5/5/47,,27,,100,,2,,,0,66,17,66,17,0,1,,2,1,4,0,1,0,0,1,0,1,,2,200,,78,87,1,5,3
1947-059,1947-059-01,1947-059-01-01,1947-059-01-01-01,3/29/48,1,333 U.S. 507,68 S. Ct. 665,92 L. Ed. 2d 840,1948 U.S. LEXIS 2371,1947,1301,Vinson,3,WINTERS v. NEW YORK,3/27/46,11/10/47,117,,28,37,2,,,0,302,37,300,37,0,1,2,1,3,3,0,1,0,0,2,0,2,,2,200,,79,78,1,6,3
1947-098,1947-098-01,1947-098-01-01,1947-098-01-01-01,6/7/48,1,334 U.S. 558,68 S. Ct. 1148,92 L. Ed. 2d 1574,1948 U.S. LEXIS 2086,1947,1301,Vinson,504,SAIA v. NEW YORK,3/30/48,,130,,28,37,2,,,0,302,37,300,37,0,1,2,1,4,3,0,1,0,0,2,0,2,,2,200,,81,87,1,5,4
