,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
139821,1710109245,"Jenny's Jammin' Sauces Poetry, TX",Food,Food,USD,2014-08-20,2500.0,2014-07-21 20:45:39,70.0,failed,3,US,70.0,70.0,2500.0
377195,992604876,Bulldog Pepper Jelly,Small Batch,Food,USD,2017-12-02,10000.0,2017-10-18 00:30:39,6111.0,failed,39,US,577.0,6111.0,10000.0
86116,1437999415,COLD BONES An Original Horror Graphic Novel,Graphic Novels,Comics,USD,2016-07-03,7200.0,2016-05-24 02:00:04,1504.0,failed,71,US,1504.0,1504.0,7200.0
49607,1252796566,The LTHR Watch Project,Accessories,Fashion,USD,2014-09-22,3500.0,2014-09-01 22:12:20,1001.0,failed,14,US,1001.0,1001.0,3500.0
151652,1770486782,The #bossup #facethemirror Podcast,Film & Video,Film & Video,USD,2017-01-07,20000.0,2016-12-23 03:45:09,0.0,failed,0,US,0.0,0.0,20000.0
83034,142218928,Ballet After Dark- A Story of Resilience After Sexual Trauma,Workshops,Dance,USD,2017-03-29,20000.0,2017-02-27 12:16:25,281.0,failed,14,US,65.0,281.0,20000.0
187161,1952819675,Have You Heard of Perryopolis?,Nonfiction,Publishing,USD,2013-07-16,3500.0,2013-06-16 02:43:37,25.0,failed,1,US,25.0,25.0,3500.0
91263,1463801768,Summer Dance Courses,Workshops,Dance,GBP,2017-08-15,2000.0,2017-07-31 20:40:41,2000.0,successful,3,GB,0.0,2574.9,2574.9
92946,1472615677,Dr. Skinnybones ALBUM & VIDEO,Pop,Music,USD,2012-04-05,1500.0,2012-03-05 19:04:36,1510.0,successful,27,US,1510.0,1510.0,1500.0
226459,221142309,Awake! Awake! Is Recording A New EP,Indie Rock,Music,USD,2011-08-21,1600.0,2011-07-22 17:40:11,3179.0,successful,40,US,3179.0,3179.0,1600.0
217996,2110572212,The Cereal Box: a cereal and milk bar with collectible toys,Restaurants,Food,USD,2017-08-15,35000.0,2017-07-06 04:23:42,2903.0,failed,50,US,1330.0,2903.0,35000.0
357403,890691496,savor latino,Food,Food,USD,2015-05-28,35000.0,2015-04-23 23:51:48,0.0,failed,0,US,0.0,0.0,35000.0
144754,1735422668,30 TO 45,Comedy,Film & Video,USD,2015-08-12,20000.0,2015-07-13 16:22:35,2684.0,failed,34,US,2684.0,2684.0,20000.0
11242,1056352019,Inside the Panels: The Next Stage in Canadian Comics,Documentary,Film & Video,CAD,2016-07-17,5000.0,2016-06-04 20:02:46,61.0,failed,2,CA,45.83,46.54,3814.76
26320,1133689332,CLI for MySQL/MariaDB,Software,Technology,USD,2015-05-06,3000.0,2015-04-06 02:48:58,4804.0,successful,161,US,4804.0,4804.0,3000.0
