year,vote-date,vote,country
2020,,A,AFGHANISTAN
2020,,A,ALBANIA
2020,,Y,ALGERIA
2020,,A,ANDORRA
2020,,Y,ANGOLA
2020,,Y,ANTIGUA AND BARBUDA
2020,,Y,ARGENTINA
2020,,Y,ARMENIA
2020,,A,AUSTRALIA
2020,,A,AUSTRIA
2020,,Y,AZERBAIJAN
2020,,Y,BAHAMAS
2020,,Y,BAHRAIN
2020,,Y,BANGLADESH
2020,,Y,BARBADOS
2020,,Y,BELARUS
2020,,A,BELGIUM
2020,,Y,BELIZE
2020,,Y,BENIN
2020,,Y,BHUTAN
2020,,Y,BOLIVIA (PLURINATIONAL STATE OF)
2020,,Y,BOSNIA AND HERZEGOVINA
2020,,Y,BOTSWANA
2020,,Y,BRAZIL
2020,,Y,BRUNEI DARUSSALAM
2020,,A,BULGARIA
2020,,Y,BURKINA FASO
2020,,Y,BURUNDI
2020,,Y,CABO VERDE
2020,,Y,CAMBODIA
2020,,Y,CAMEROON
2020,,A,CANADA
2020,,Y,CENTRAL AFRICAN REPUBLIC
2020,,Y,CHAD
2020,,Y,CHILE
2020,,Y,CHINA
2020,,Y,COLOMBIA
2020,,Y,COMOROS
2020,,Y,CONGO
2020,,Y,COSTA RICA
2020,,Y,COTE D'IVOIRE
2020,,A,CROATIA
2020,,Y,CUBA
2020,,A,CYPRUS
2020,,A,CZECHIA
2020,,Y,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA
2020,,NV,DEMOCRATIC REPUBLIC OF THE CONGO
2020,,A,DENMARK
2020,,Y,DJIBOUTI
2020,,Y,DOMINICA
2020,,Y,DOMINICAN REPUBLIC
2020,,Y,ECUADOR
2020,,Y,EGYPT
2020,,Y,EL SALVADOR
2020,,Y,EQUATORIAL GUINEA
2020,,Y,ERITREA
2020,,A,ESTONIA
2020,,Y,ESWATINI
2020,,Y,ETHIOPIA
2020,,NV,FIJI
2020,,A,FINLAND
2020,,A,FRANCE
2020,,Y,GABON
2020,,Y,GAMBIA
2020,,A,GEORGIA
2020,,A,GERMANY
2020,,Y,GHANA
2020,,A,GREECE
2020,,Y,GRENADA
2020,,Y,GUATEMALA
2020,,Y,GUINEA
2020,,NV,GUINEA-BISSAU
2020,,Y,GUYANA
2020,,Y,HAITI
2020,,Y,HONDURAS
2020,,A,HUNGARY
2020,,A,ICELAND
2020,,Y,INDIA
2020,,Y,INDONESIA
2020,,NV,IRAN (ISLAMIC REPUBLIC OF)
2020,,Y,IRAQ
2020,,A,IRELAND
2020,,Y,ISRAEL
2020,,A,ITALY
2020,,Y,JAMAICA
2020,,A,JAPAN
2020,,Y,JORDAN
2020,,Y,KAZAKHSTAN
2020,,Y,KENYA
2020,,A,KIRIBATI
2020,,Y,KUWAIT
2020,,Y,KYRGYZSTAN
2020,,Y,LAO PEOPLE'S DEMOCRATIC REPUBLIC
2020,,A,LATVIA
2020,,Y,LEBANON
2020,,Y,LESOTHO
2020,,A,LIBERIA
2020,,Y,LIBYA
2020,,A,LIECHTENSTEIN
2020,,A,LITHUANIA
2020,,A,LUXEMBOURG
2020,,Y,MADAGASCAR
2020,,Y,MALAWI
2020,,Y,MALAYSIA
2020,,Y,MALDIVES
2020,,Y,MALI
2020,,A,MALTA
2020,,NV,MARSHALL ISLANDS
2020,,Y,MAURITANIA
2020,,Y,MAURITIUS
2020,,Y,MEXICO
2020,,NV,MICRONESIA (FEDERATED STATES OF)
2020,,A,MONACO
2020,,Y,MONGOLIA
2020,,A,MONTENEGRO
2020,,Y,MOROCCO
2020,,Y,MOZAMBIQUE
2020,,Y,MYANMAR
2020,,Y,NAMIBIA
2020,,Y,NAURU
2020,,Y,NEPAL
2020,,A,NETHERLANDS
2020,,A,NEW ZEALAND
2020,,Y,NICARAGUA
2020,,Y,NIGER
2020,,Y,NIGERIA
2020,,A,NORTH MACEDONIA
2020,,A,NORWAY
2020,,Y,OMAN
2020,,Y,PAKISTAN
2020,,A,PALAU
2020,,Y,PANAMA
2020,,Y,PAPUA NEW GUINEA
2020,,Y,PARAGUAY
2020,,Y,PERU
2020,,Y,PHILIPPINES
2020,,A,POLAND
2020,,A,PORTUGAL
2020,,Y,QATAR
2020,,A,REPUBLIC OF KOREA
2020,,Y,REPUBLIC OF MOLDOVA
2020,,A,ROMANIA
2020,,Y,RUSSIAN FEDERATION
2020,,Y,RWANDA
2020,,Y,SAINT KITTS AND NEVIS
2020,,Y,SAINT LUCIA
2020,,Y,SAINT VINCENT AND THE GRENADINES
2020,,A,SAMOA
2020,,A,SAN MARINO
2020,,Y,"SAO TOME	AND	PRINCIPE"
2020,,Y,SAUDI ARABIA
2020,,Y,SENEGAL
2020,,Y,SERBIA
